time,na,va_x,va_y,va_z,B_inst_x,B_inst_y,B_inst_z,Ta_perp,Trat
1610711475.202729,15.29613756273658,-469.9227832469849,110.0060896593417,34.33041704982598,-93.9344,-22.2406,52.9310,273.7235615914907,0.8461602874150330
1610711601.032286,14.70517411422790,-482.7353663709357,112.4167970804769,36.57740481470614,-96.4136,-28.5547,35.8449,263.1214568875735,0.8276354112239114
1610711726.861824,12.48511507077902,-480.0189801295352,94.65198643231332,46.01000155390280,-48.7449,39.1998,-8.92179,299.1678723720549,0.9638173938286790
1610711852.691321,13.28933148981872,-474.4591136244722,104.6331690232944,28.48562946547453,-74.2205,22.9729,86.3392,250.3792140796263,0.6988809587278586
1610711978.520858,13.20788014240785,-484.9442530445569,99.10230801113998,33.84763863458658,-81.8847,20.6529,65.9206,234.0168761741206,0.7392581907943239
1610712104.350395,12.44880115622794,-480.4371265651071,96.48351277808644,35.94316206924621,-98.8207,35.0467,45.1630,241.3205558907537,0.8431104608058875
1610712230.179953,12.68314118444161,-468.5057072093969,106.7135556131395,27.81787605235327,-110.308,-3.00245,42.6725,228.7391713644425,0.6635782770094437
1610712356.009490,12.59765814155852,-474.2308713556779,107.0774160712448,29.89204802883780,-112.609,-8.31894,25.2177,233.4259890252269,0.7869035216899933
1610712481.838987,12.17753771800399,-483.0074570828253,108.6381099531730,23.19548359789826,-84.2326,40.5774,47.2893,222.4259935285732,0.7204867027050004
1610712607.668525,13.41927073660766,-489.9535844147667,111.6207435618989,36.04207817605320,-88.5230,25.1736,14.0520,290.8234104683951,1.148638286025192
1610712733.498082,15.38489420306963,-473.3054497126816,116.0349113789628,30.23411688039085,-106.619,-33.3169,28.8777,271.8754708838268,0.8626668665264312
1610712859.327619,13.79218723679094,-480.7281059941817,104.9692553547008,25.80968200680320,-98.2354,19.5836,48.9692,229.2455675072170,0.7725852409148156
1610712985.157096,11.52408368005219,-480.3548943027919,92.75084401716011,23.66089598077695,-85.1627,63.0247,45.6668,235.7867457321285,0.6081537500627570
1610713110.986654,10.90729723995461,-485.4841277804606,98.15931779453734,26.20214257620071,-95.9048,48.6798,58.8320,196.9479026545915,0.5995192219027199
1610713236.816191,12.23340163091419,-459.4089684379054,97.46511606931085,22.56511077611105,-109.162,15.1130,48.6325,209.1900599753147,0.5307232814019811
1610713362.645748,11.72002293816862,-474.1129757865341,94.96138596598803,24.06405861817584,-103.792,26.3266,57.0064,218.5607077338833,0.5535512901406112
1610713488.475226,11.04215337114059,-472.5975737030217,105.8818815068010,24.93544604059666,-109.787,8.57780,50.7829,215.0148730881451,0.6456657571090167
1610713614.304783,15.06284911764969,-453.5312184593737,90.99406830938979,26.89904354183625,-60.6989,31.1738,31.7006,243.0306753572745,0.5625513180924728
1610713740.134320,14.60207850348219,-474.9369824065676,105.1731197821615,37.28303681077647,-113.928,-29.4686,-1.00399,245.5183194150558,0.7313858018268409
1610713865.963858,15.74234210072666,-473.9269335708207,101.5838350735715,33.88504797244445,-109.450,-40.3495,13.3815,296.1342772743345,1.064737778254240
1610713991.793415,12.66008192294843,-480.4266660784907,107.5512067025763,35.49817827152287,-112.698,1.24034,16.9232,250.7782637126758,1.170745940798860
1610714117.622892,12.22097225310129,-475.4201686679274,97.67192683236404,26.29771587677656,-78.2080,62.8079,38.8602,239.0494453314278,0.7401918407644824
1610714243.452449,13.16931000561724,-483.4936570156580,109.3759536343252,32.94058583365872,-96.4953,-17.0884,54.5740,256.1917855593261,0.8360709643887173
1610714369.281987,11.08788578406886,-494.2387050232878,104.0689299419561,36.45647692613290,-97.8659,48.0525,38.9798,224.9875889662918,0.6654930518453822
1610714495.111544,11.39141718964330,-493.0457645062922,100.7342436775608,30.05930127078420,-96.8070,50.3358,23.7161,232.5056732994540,0.7790841967253874
1610714620.941021,11.55875400221209,-495.1136560506075,96.09167146474861,38.99558394037049,-78.1851,74.3982,28.1674,274.0439336411566,0.8197791741650710
1610714746.770559,14.58445595313582,-486.2095258446939,104.2397904601564,34.34129347811193,-103.304,0.723597,32.7404,255.9975142003004,0.7796604534417859
1610714872.600116,12.43089897399607,-499.5292978330212,103.8868162128717,30.23666268778668,-33.5661,62.3513,64.7189,278.4631303904117,0.9223096273447811
1610714998.429653,14.01330799902396,-492.8212442869944,103.4766711275850,52.52895476290754,-76.7173,10.6383,-23.5198,262.6512979150125,0.7580503782204778
1610715124.259211,13.91491857026900,-491.4671494931915,106.6504046485940,37.26657575574569,-85.9673,27.3592,24.1535,272.4676752862275,0.8282078418955776
1610715250.088688,14.73393405219521,-482.7207503034798,106.3893744781612,28.18311924311262,-106.794,-2.39625,34.8565,265.9504187075503,0.8580994762762413
1610715375.918245,14.90794321531779,-485.0933567966051,103.2510779992188,43.66650114481255,-107.890,-36.5862,-4.56199,301.0699716937847,1.120962572440589
1610715501.747782,15.39078306016380,-491.2016102119439,111.1888493206578,62.44160999119009,-83.0860,-49.7854,-66.3781,285.3795301918085,0.9897878097971722
1610715627.577320,15.82568364750867,-485.6843197692805,110.4678988071995,62.17191219674135,-77.5485,-48.2447,-66.3041,299.4242818738361,1.098383050892455
1610715753.406877,13.14625225941373,-490.8403772779154,107.8400733884875,56.88724663963041,-72.7259,36.8537,-51.5510,250.9856029388413,0.7281945901350135
1610715879.236354,12.29809120462565,-496.8518561914926,105.9926939089212,54.68909474767119,-90.6988,36.2290,-35.1172,225.8308865540960,0.7390412470422537
1610716005.065912,14.33526767439168,-481.7464823232830,104.8732824226532,37.10959472332731,-109.981,10.0439,25.9443,289.4208928891794,0.9801076011153069
1610716130.895449,12.93721941048894,-494.0935114488498,103.2064267766460,56.04884655262706,-91.4829,30.8017,-53.8255,244.6823871867126,0.7851238323416109
