time,np1,np2,vp1_x,vp1_y,vp1_z,B_inst_x,B_inst_y,B_inst_z,vdrift,Tperp1,Tperp2,Trat1,Trat2
1601172418.288247,931.8682071416057,831.0428935807038,-280.5484595677160,187.1598096506264,18.21526723283712,170.254,84.0796,-22.9963,-76.54975986696860,53.16477824987982,78.39353573353412,3.082789238202964,0.9802234632290426
1601172530.136761,681.7656076794265,964.1555056032917,-296.2071482025182,203.2450783108272,-13.51785026037194,144.431,108.834,-63.5004,-72.51311484186398,42.71656561218296,77.23978636789211,2.279292474376506,1.087536900064298
1601172641.985355,1013.499781414028,364.7200854440915,-372.5052613758421,128.6402547515024,118.9707416281967,98.6328,0.233320,141.737,96.22140497205191,68.88833114170411,46.06880333490575,1.138002812696449,2.288496933110177
1601172753.833869,1119.762067153663,135.3385678577963,-381.8390563943414,130.9289616597788,159.8830718677779,32.1745,22.8101,193.675,-124.5828158574968,53.33535970812110,87.67234666087457,1.183136805150060,1.001477364194493
1601172865.682463,1052.381427675248,251.8939630698567,-395.5227821038629,105.8536157516370,172.5658534637699,17.1829,-33.8174,209.073,-99.54672104062658,55.72473787066988,93.04806651742388,1.557622002893382,1.456967175076778
1601172977.530978,895.7670108879993,515.1700635664516,-343.5063165973144,178.7122802289519,161.1175945441287,64.2248,67.1901,176.349,-95.57563329421006,60.94428321780600,68.62421480612321,2.080406411871521,0.9089268997181020
1601173089.379572,637.4379988675195,651.0558077476981,-314.3517939063501,65.66366334506363,144.1469238054070,145.808,-65.1983,101.969,-104.7810947250152,41.19719996013254,74.92985259737536,1.497343979939323,1.087692933306754
1601173201.228086,253.8630248302207,1224.063484066075,-273.0093287429734,197.2641799218173,87.29590235380944,127.596,56.7157,98.0219,-89.37747131213658,44.23285909885981,66.47899269911298,6.542980432810255,0.9550914118216756
1601173313.076620,289.4646485900985,1014.655882191792,-280.1643857317025,151.1447416055118,138.7806341045714,99.3902,69.2360,-6.65269,-152.8324300264156,49.33961816202174,75.21932465039374,1.960149126815754,1.020701626700144
1601173424.925214,637.7236808926921,866.1072503862847,-322.7673661667864,244.2156705954650,39.20337415929814,123.560,128.870,-7.86402,-77.69129185380388,59.03768490802434,76.10378756363173,2.864812375223458,1.027896190466475
1601173536.773728,434.1818727759538,1078.157786051050,-275.3250583388359,199.3701312545076,107.4445412828681,147.659,35.1982,65.3734,-93.72250024230991,41.59547690368275,85.22092582129487,2.872507550863722,1.281100174546960
1601173648.622323,519.4548557383916,849.3715311304404,-263.7981176291241,92.46156311008660,110.3060540950134,177.844,-34.4186,35.8093,-92.72283941801736,37.64252291527944,81.59215314007344,1.756222136863127,1.202077747886501
1601173760.470837,656.7254878379174,890.2025675496366,-259.2474165486183,144.6571202152388,80.01093857764059,151.878,22.5425,11.7375,-97.18845242885077,62.84870614970431,94.78517960753555,3.440558528754663,1.380286416053285
1601173872.319431,528.3584113047688,651.7857242228637,-251.1379349693466,76.91653362907908,26.29591556754121,172.719,-106.965,-39.5548,-73.00454660780277,31.18012872793809,81.87196992103273,1.687918939661373,0.9967210985534941
1601173984.167945,972.7230147987256,485.5270627249428,-261.0495055711349,90.77380310260276,-8.512389566507418,185.515,-56.2706,-84.7573,-87.25039209236816,51.53403202032310,62.11046084758912,3.226391459599873,0.7262477262227096
1601174096.016539,636.6251049189370,624.2231225354203,-250.5541609726006,76.15271459379611,47.53764423351760,186.048,-88.6668,17.3717,-70.68269221057587,36.38912843266061,67.14344558030105,2.336308211765126,0.9746617455050874
1601174207.865073,938.0458241809129,548.8378980392835,-250.5251298673694,82.35087912751648,51.93870498228921,201.329,-56.6297,-8.53426,-87.81993651719688,46.43405615498254,66.76957890740891,3.209394468158116,0.8024065771364212
1601174319.713647,737.1406740762783,796.7339604176520,-287.4260516988938,151.6944409187384,135.2145052061555,127.792,66.2915,120.502,-87.76172450443944,54.06795139860982,76.68376028604600,2.555902076965144,1.190720542363851
1601174431.562181,999.1511685676738,684.7930438984437,-264.1599523123377,136.2940508407724,94.60543691358606,173.920,24.9721,78.0695,-90.62957225369280,58.16324405025663,74.48285614241611,3.356117624232750,1.016461734270147
1601174543.410756,688.1423298961406,379.6782166860903,-362.8903403432600,102.3807751290972,56.45167593186535,92.5034,-103.785,9.54821,109.2740111267598,81.50109166157038,58.52619416584511,1.178910811228079,3.891176144170306
1601174655.259290,1144.265622436626,0.000000000000000,-329.1903713027338,104.4360593939636,45.45972872650777,129.321,-61.2874,-9.69620,-93.03657472115817,86.86788173734118,31.86569769323130,0.9693796752151359,1.302288472338555
1601174767.107804,1153.193695932229,197.3659398595658,-339.9233842016848,149.0885689450136,-8.922810283478007,112.409,16.4755,-94.4941,-111.3392184655778,78.37750657180186,33.95431094889005,1.020608241276086,1.868329000325666
1601174878.956398,848.4085376996444,668.2333860273095,-256.3392628170811,109.1452137940681,81.32259553861152,177.910,-25.6534,70.9361,-86.61382678614343,51.87467621043787,70.30777709744761,3.231452652736019,0.9299269535623158
1601174990.804912,679.5273467917405,616.7775272414885,-255.7682893213967,71.03418254990193,78.81958068297730,179.054,-97.6050,18.9988,-98.07389260936377,44.80637099403144,69.50930523989847,2.967690119454023,0.8248408067012325
1601175102.653507,314.3404064948334,605.9372802410779,-283.1101117604679,23.08964262594366,31.37780763218785,123.914,-149.404,-7.66159,-96.44785105710730,57.18428522791279,70.98246611336411,3.651063750208631,0.8866273920971247
1601175214.502041,543.4358138338692,224.4585925018676,-285.4289167730932,51.47659137459389,62.21172397376079,155.035,-143.425,25.2070,-64.32344743288891,43.43155415426699,72.53192382190005,1.732156493417200,0.8686585516657236
1601175326.350615,958.1684983487348,253.4583992743659,-263.3842618607838,73.39322471647867,65.46170566212362,198.839,-87.8694,14.1128,-142.0554732862313,51.23433314481812,62.75180896277636,2.639288386450058,0.9316988528892431
1601175438.199149,685.3613656683058,515.5935176829722,-266.2759796213775,66.01004390206518,8.838336819788664,180.051,-84.7500,-46.1060,-93.89748172116035,59.42515087161820,73.12329446272990,3.777076253604465,0.8752149470272677
