Year   Month     Day    Hour  Minute  Second              HGI_X(km)             HGI_Y(km)             HGI_Z(km)
2020      09      23      05      31      00             26163125.3752        -15849808.91           1052203.67
2020      09      23      05      32      00             26162122.8785        -15845002.55          1051879.475
2020      09      23      05      33      00             26161119.9456        -15840195.92          1051555.262
2020      09      23      05      34      00             26160116.5766        -15835389.03          1051231.031
2020      09      23      05      35      00             26159112.7713        -15830581.87          1050906.783
2020      09      23      05      36      00             26158108.5296        -15825774.45          1050582.517
2020      09      23      05      37      00             26157103.8513        -15820966.77          1050258.234
2020      09      23      05      38      00             26156098.7363        -15816158.82          1049933.933
2020      09      23      05      39      00             26155093.1845        -15811350.61          1049609.615
2020      09      23      05      40      00             26154087.1958        -15806542.13          1049285.279
2020      09      23      05      41      00             26153080.7701        -15801733.39          1048960.926
2020      09      23      05      42      00             26152073.9071        -15796924.38          1048636.555
2020      09      23      05      43      00             26151066.6068        -15792115.11          1048312.167
2020      09      23      05      44      00             26150058.8691        -15787305.58          1047987.761
2020      09      23      05      45      00             26149050.6938        -15782495.78          1047663.337
2020      09      23      05      46      00             26148042.0808        -15777685.72          1047338.896
2020      09      23      05      47      00               26147033.03        -15772875.39          1047014.438
2020      09      23      05      48      00             26146023.5412         -15768064.8          1046689.962
2020      09      23      05      49      00             26145013.6144        -15763253.95          1046365.468
2020      09      23      05      50      00             26144003.2493        -15758442.83          1046040.957
2020      09      23      05      51      00             26142992.4459        -15753631.45          1045716.428
2020      09      23      05      52      00             26141981.2041         -15748819.8          1045391.882
2020      09      23      05      53      00             26140969.5236        -15744007.89          1045067.318
2020      09      23      05      54      00             26139957.4044        -15739195.71          1044742.737
2020      09      23      05      55      00             26138944.8464        -15734383.28          1044418.138
2020      09      23      05      56      00             26137931.8494        -15729570.57          1044093.522
2020      09      23      05      57      00             26136918.4133         -15724757.6          1043768.888
2020      09      23      05      58      00              26135904.538        -15719944.37          1043444.236
2020      09      23      05      59      00             26134890.2233        -15715130.87          1043119.567
2020      09      23      06      00      00             26133875.4691        -15710317.11          1042794.881
2020      09      23      06      01      00             26132860.2753        -15705503.09          1042470.177
2020      09      23      06      02      00             26131844.6418         -15700688.8          1042145.455
2020      09      23      06      03      00             26130828.5684        -15695874.24          1041820.716
2020      09      23      06      04      00              26129812.055        -15691059.43          1041495.959
2020      09      23      06      05      00             26128795.1015        -15686244.34          1041171.185
2020      09      23      06      06      00             26127777.7077           -15681429          1040846.393
2020      09      23      06      07      00             26126759.8735        -15676613.39          1040521.584
2020      09      23      06      08      00             26125741.5988        -15671797.51          1040196.757
2020      09      23      06      09      00             26124722.8835        -15666981.37          1039871.912
2020      09      23      06      10      00             26123703.7274        -15662164.97           1039547.05
2020      09      23      06      11      00             26122684.1304         -15657348.3          1039222.171
2020      09      23      06      12      00             26121664.0924        -15652531.37          1038897.274
2020      09      23      06      13      00             26120643.6132        -15647714.17          1038572.359
2020      09      23      06      14      00             26119622.6928        -15642896.71          1038247.427
2020      09      23      06      15      00             26118601.3309        -15638078.98          1037922.477
2020      09      23      06      16      00             26117579.5275        -15633260.99           1037597.51
2020      09      23      06      17      00             26116557.2824        -15628442.74          1037272.525
2020      09      23      06      18      00             26115534.5955        -15623624.22          1036947.523
2020      09      23      06      19      00             26114511.4667        -15618805.44          1036622.503
